Species,Target As,Game,Location,Environment,Time,Weater,Season,SOS
Bulbasaur,Bulbasaur,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Ivysaur,Bulbasaur,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Venusaur,Bulbasaur,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Charmander,Charmander,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Charmeleon,Charmander,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Charizard,Charmander,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Squirtle,Squirtle,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Wartortle,Squirtle,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Blastoise,Squirtle,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Caterpie,Caterpie,Diamond,Route 204 - South,FireRed Inserted- PokeRadar,N/A,N/A,N/A,N/A
Metapod,Metapod,Diamond,Eterna Forest,FireRed Inserted- PokeRadar,N/A,N/A,N/A,N/A
Butterfree,Metapod,Diamond,Eterna Forest,FireRed Inserted- PokeRadar,N/A,N/A,N/A,N/A
Weedle,Weedle,Diamond,Route 204 - South,LeafGreen Inserted- PokeRadar,N/A,N/A,N/A,N/A
Kakuna,Kakuna,Diamond,Eterna Forest,LeafGreen Inserted- PokeRadar,N/A,N/A,N/A,N/A
Beedrill,Kakuna,Diamond,Eterna Forest,LeafGreen Inserted- PokeRadar,N/A,N/A,N/A,N/A
Pidgey,Pidgey,Diamond,Route 229,Swarm- PokeRadar,N/A,N/A,N/A,N/A
Pidgeotto,Pidgey,Diamond,Route 229,Swarm- PokeRadar,N/A,N/A,N/A,N/A
Pidgeot,Pidgey,Diamond,Route 229,Swarm- PokeRadar,N/A,N/A,N/A,N/A
Rattata,Rattata,Diamond,Route 225,Walk- PokeRadar,N/A,N/A,N/A,N/A
Raticate,Raticate,Diamond,Route 225,Walk- PokeRadar,N/A,N/A,N/A,N/A
Spearow,Spearow,Diamond,Route 225,Walk- PokeRadar,N/A,N/A,N/A,N/A
Fearow,Fearow,Diamond,Route 225,Walk- PokeRadar,N/A,N/A,N/A,N/A
Ekans,Ekans,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Arbok,Arbok,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Pikachu,Pikachu,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Raichu,Raichu,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Sandshrew,Sandshrew,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Sandslash,Sandslash,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Nidoran♀,Nidoran♀,Diamond,Route 201,PokeRadar- PokeRadar,N/A,N/A,N/A,N/A
Nidorina,Nidorina,Diamond,Route 221,PokeRadar- PokeRadar,N/A,N/A,N/A,N/A
Nidoqueen,Nidorina,Diamond,Route 221,PokeRadar- PokeRadar,N/A,N/A,N/A,N/A
Nidoran♂,Nidoran♂,Diamond,Route 201,PokeRadar- PokeRadar,N/A,N/A,N/A,N/A
Nidorino,Nidorino,Diamond,Route 221,PokeRadar- PokeRadar,N/A,N/A,N/A,N/A
Nidoking,Nidorino,Diamond,Route 221,PokeRadar- PokeRadar,N/A,N/A,N/A,N/A
Clefairy,Clefairy,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Clefable,Clefairy,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Vulpix,Vulpix,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Ninetales,Vulpix,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Jigglypuff,Jigglypuff,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Wigglytuff,Wigglytuff,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Zubat,Zubat,Legends: Arceus,Obsidian Fieldlands: Massive Mass Outbreak,Obsidian Fieldlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Golbat,Golbat,Legends: Arceus,Obsidian Fieldlands: Massive Mass Outbreak,Obsidian Fieldlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Oddish,Oddish,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Gloom,Gloom,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Vileplume,Vileplume,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Paras,Paras,Legends: Arceus,Obsidian Fieldlands: Massive Mass Outbreak,Obsidian Fieldlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Parasect,Parasect,Legends: Arceus,Obsidian Fieldlands: Massive Mass Outbreak,Obsidian Fieldlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Venonat,Venonat,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Venomoth,Venomoth,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Diglett,Diglett,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Dugtrio,Dugtrio,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Meowth,Meowth,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Persian,Persian,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Psyduck,Psyduck,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Golduck,Golduck,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Mankey,Mankey,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Primeape,Primeape,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Growlithe,Growlithe,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Arcanine,Arcanine,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Poliwag,Poliwag,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Poliwhirl,Poliwhirl,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Poliwrath,Poliwhirl,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Abra,Abra,Legends: Arceus,Obsidian Fieldlands: Massive Mass Outbreak,Obsidian Fieldlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Kadabra,Kadabra,Legends: Arceus,Obsidian Fieldlands: Massive Mass Outbreak,Obsidian Fieldlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Alakazam,Alakazam,Legends: Arceus,Obsidian Fieldlands: Massive Mass Outbreak,Obsidian Fieldlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Machop,Machop,Legends: Arceus,Cobalt Coastlands: Massive Mass Outbreak,Cobalt Coastlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Machoke,Machoke,Legends: Arceus,Cobalt Coastlands: Massive Mass Outbreak,Cobalt Coastlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Machamp,Machamp,Legends: Arceus,Cobalt Coastlands: Massive Mass Outbreak,Cobalt Coastlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Bellsprout,Bellsprout,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Weepinbell,Weepinbell,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Victreebel,Weepinbell,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Tentacool,Tentacool,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
